"","Casualty.Class","Age.of.Casualty","Weather.Conditions","Type.of.Vehicle","Casualty.Severity"
"336",1,28,1,9,3
"337",3,27,1,8,3
"338",1,87,1,9,3
"339",1,23,1,9,3
"340",3,65,2,9,3
"341",1,24,2,1,3
"342",1,26,1,3,3
"343",1,82,1,9,3
"344",1,32,1,21,3
"345",1,25,2,9,3
"346",3,34,1,9,3
"347",3,36,1,19,3
"348",1,27,1,2,2
"349",1,63,1,9,3
"350",1,55,1,1,1
"351",3,87,1,21,2
"352",1,29,1,9,3
"353",3,60,1,9,3
"354",2,29,3,8,3
"355",1,18,3,9,3
"356",1,33,1,90,2
"357",1,23,9,9,3
"358",3,33,1,9,3
"359",2,16,1,8,3
"360",2,11,1,8,3
"361",2,12,1,8,3
"362",1,47,1,9,3
"363",2,30,1,9,3
"364",3,25,1,9,3
"365",3,49,5,9,3
"366",1,27,5,3,3
"367",1,20,9,9,3
"368",3,66,9,9,3
"369",2,31,6,9,3
"370",3,16,1,9,3
"371",1,55,1,9,3
"372",3,5,9,9,3
"373",1,55,5,9,3
"374",1,55,9,9,3
"375",1,55,2,1,3
"376",1,19,1,3,3
"377",1,54,1,9,2
"378",3,50,9,9,3
"379",1,21,1,9,3
"380",2,26,1,9,3
"381",3,13,1,9,3
"382",1,74,1,19,3
"383",1,18,2,9,3
"384",2,26,1,9,3
"385",1,37,1,9,3
"386",2,36,1,9,3
"387",1,34,1,9,3
"388",1,24,2,1,3
"389",1,33,2,9,3
"390",1,46,1,9,2
"391",1,32,2,9,3
"392",1,36,1,8,3
"393",1,19,1,9,2
"394",1,30,5,9,3
"395",1,41,1,9,3
"396",2,60,1,9,3
"397",2,7,1,9,3
"398",2,9,1,9,3
"399",1,44,1,9,3
"400",1,41,1,5,2
"401",3,29,1,9,3
"402",1,45,1,1,3
"403",1,35,1,9,3
"404",3,29,1,9,3
"405",3,3,1,9,3
"406",1,41,1,9,3
"407",1,38,1,9,3
"408",1,19,1,9,3
"409",2,70,1,9,3
"410",2,18,1,9,3
"411",1,55,1,9,3
"412",1,19,1,9,3
"413",2,23,1,9,2
"414",1,51,1,5,3
"415",2,4,2,9,2
"416",1,23,2,9,3
"417",1,53,2,9,3
"418",2,11,2,9,3
"419",2,52,2,9,3
"420",2,12,2,9,3
"421",1,35,2,9,3
"422",2,6,2,9,3
"423",1,47,6,9,3
"424",1,48,3,9,3
"425",1,23,9,9,3
"426",1,51,1,9,3
"427",1,39,1,19,3
"428",1,35,1,9,3
"429",1,19,9,9,3
"430",2,21,9,9,3
"431",1,57,3,9,3
"432",1,36,3,1,3
"433",1,40,3,9,3
"434",3,12,1,9,3
"435",1,25,1,9,3
"436",3,67,1,9,3
"437",1,64,1,9,3
"438",1,57,1,20,3
"439",3,55,1,20,3
"440",1,33,1,9,3
"441",3,11,2,9,3
"442",1,48,9,9,3
"443",1,35,1,9,3
"444",3,7,1,9,3
"445",2,25,1,9,3
"446",1,22,1,9,3
"447",2,21,1,9,3
"448",1,34,1,19,3
"449",2,24,9,19,3
"450",1,21,1,9,3
"451",3,26,1,9,3
"452",1,88,1,9,2
"453",1,24,1,9,3
"454",2,23,1,9,3
"455",1,72,1,9,3
"456",1,21,1,9,3
"457",2,21,1,9,3
"458",3,93,1,9,2
"459",1,41,1,1,3
"460",1,36,1,5,2
"461",3,7,1,9,3
"462",1,79,1,9,3
"463",1,27,8,9,3
"464",2,36,8,9,3
"465",1,59,1,9,3
"466",2,10,1,9,3
"467",3,14,8,9,2
"468",1,49,2,4,3
"469",1,50,1,1,3
"470",1,33,5,9,3
"471",2,26,5,9,3
"472",1,39,1,9,3
"473",1,36,3,9,3
"474",1,35,1,9,3
"475",1,35,1,9,3
"476",2,35,1,9,3
"477",3,36,1,9,3
"478",3,22,1,9,2
"479",1,47,1,9,3
"480",2,46,1,9,3
"481",2,16,1,9,3
"482",1,32,1,9,3
"483",2,62,1,9,3
"484",2,62,1,9,3
"485",1,70,1,9,3
"486",2,70,1,9,3
"487",3,77,2,8,3
"488",1,49,1,21,3
"489",3,14,1,9,3
"490",1,32,1,9,3
"491",3,54,1,21,3
"492",3,4,1,9,3
"493",3,37,2,9,2
"494",1,44,2,9,3
"495",1,23,2,9,3
"496",2,19,1,9,2
"497",2,15,1,9,2
"498",2,25,1,9,2
"499",1,46,1,9,3
"500",1,46,1,5,1
"501",1,43,1,1,3
"502",3,4,1,9,3
"503",1,25,1,9,3
"504",1,53,1,5,2
"505",1,50,1,1,3
"506",3,55,1,9,3
"507",1,21,1,3,2
"508",1,26,1,9,3
"509",1,38,1,9,3
"510",1,74,1,5,2
"511",1,37,1,9,3
"512",1,45,1,8,3
"513",1,51,1,9,3
"514",1,24,1,9,3
"515",1,34,1,9,3
"516",2,20,1,9,3
"517",1,57,1,9,3
"518",1,62,1,9,3
"519",1,41,1,9,3
"520",1,23,1,9,3
"521",1,40,1,8,3
"522",2,51,1,9,3
"523",1,37,1,1,3
"524",1,27,1,9,3
"525",1,31,1,20,3
"526",1,59,1,1,3
"527",3,14,1,9,3
"528",3,60,1,9,3
"529",1,30,1,9,3
"530",3,51,1,9,3
"531",1,54,1,9,3
"532",3,43,1,9,3
"533",1,26,1,9,3
"534",1,29,1,9,3
"535",3,11,1,9,2
"536",1,31,1,9,3
"537",1,22,1,9,3
"538",3,25,1,5,3
"539",1,24,1,5,3
"540",2,22,1,5,3
"541",1,24,1,9,3
"542",1,27,1,9,3
"543",3,40,1,9,3
"544",2,19,1,9,3
"545",1,30,1,1,3
"546",3,6,1,9,3
"547",1,40,2,1,3
"548",1,50,1,5,3
"549",1,79,1,9,3
"550",1,73,1,9,3
"551",1,64,1,9,3
"552",1,55,1,9,3
"553",3,20,1,9,2
"554",1,19,1,2,3
"555",1,24,1,9,3
"556",1,24,1,9,3
"557",1,42,1,9,3
"558",2,9,1,9,3
"559",1,32,1,9,3
"560",2,11,1,9,3
"561",3,32,1,19,3
"562",1,48,1,9,3
"563",1,20,1,9,3
"564",1,57,1,5,3
"565",1,13,1,1,3
"566",1,83,1,9,3
"567",2,79,1,9,3
"568",1,34,1,9,3
"569",1,31,1,19,3
"570",1,42,1,9,3
"571",3,35,1,9,3
"572",1,19,1,9,3
"573",2,62,1,9,3
"574",2,1,1,9,3
"575",1,52,1,9,3
"576",3,45,1,9,3
"577",1,26,1,9,3
