"","Number.of.Vehicles","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Daylight.Dark","Weather.Conditions","Type.of.Vehicle","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty"
"1070",2,2015-05-16,830,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,1,"Male",81
"1071",2,2015-05-16,830,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",45
"1072",1,2015-05-15,1620,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,2,"Male",11
"1073",1,2015-05-16,1456,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",90,2,2,"Male",2
"1074",1,2015-05-16,1905,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",8
"1075",2,2015-05-17,1300,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Male",29
"1076",2,2015-05-17,1300,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",39
"1077",1,2015-05-19,1519,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",66
"1078",3,2015-05-21,1610,"B","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",18
"1079",3,2015-05-21,1610,"B","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Male",19
"1080",3,2015-05-21,1610,"B","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",17
"1081",3,2015-05-21,1610,"B","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",54
"1082",3,2015-05-21,1610,"B","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",44
"1083",3,2015-05-23,1145,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",5,1,2,"Male",27
"1084",1,2015-05-25,200,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",8,3,3,"Male",25
"1085",3,2015-05-26,800,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",21
"1086",1,2015-05-26,1421,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",3,1,3,"Male",23
"1087",2,2015-05-27,1300,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",23
"1088",2,2015-05-27,1300,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",18
"1089",2,2015-05-28,1915,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",57
"1090",2,2015-05-29,1908,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",34
"1091",1,2015-05-31,150,"Unknown","Wet/Damp","Darkness: No Street Lights Present",NA,"Raining, no high winds",8,3,3,"Male",19
"1092",2,2015-05-02,1215,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",5,1,3,"Male",53
"1093",5,2015-06-01,600,"Motorway","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",53
"1094",5,2015-06-01,600,"Motorway","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",23
"1095",3,2015-06-01,1705,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,1,3,"Male",19
"1096",3,2015-06-01,1705,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,1,3,"Male",20
"1097",4,2015-06-01,1900,"A","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, high winds",9,1,3,"Male",42
"1098",4,2015-06-01,1900,"A","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, high winds",9,1,3,"Female",41
"1099",4,2015-06-01,1900,"A","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, high winds",9,1,3,"Male",37
"1100",4,2015-06-01,1900,"A","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, high winds",9,1,3,"Male",22
"1101",2,2015-06-02,810,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",5,1,3,"Male",35
"1102",2,2015-06-04,1559,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",47
"1103",2,2015-06-04,1559,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",27
"1104",2,2015-06-04,1559,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",25
"1105",2,2015-06-04,1559,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",60
"1106",2,2015-06-04,1559,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",44
"1107",1,2015-06-05,1542,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",10
"1108",2,2015-06-05,1903,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,2,"Female",34
"1109",2,2015-06-05,1903,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",40
"1110",2,2015-05-31,1005,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,2,"Male",25
"1111",2,2015-06-08,1835,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,2,"Female",9
"1112",2,2015-06-08,1930,"B","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",21,1,3,"Male",49
"1113",2,2015-06-09,1710,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",4,1,2,"Female",24
"1114",2,2015-06-09,1725,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",3,1,3,"Male",42
"1115",2,2015-06-10,630,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",43
"1116",2,2015-06-12,1800,"B","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",19
"1117",2,2015-06-13,1110,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",28
"1118",2,2015-06-13,1110,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",29
"1119",3,2015-06-13,1214,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",21,1,3,"Male",52
"1120",2,2015-06-13,2050,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",24
"1121",3,2015-06-15,1045,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,2,"Male",42
"1122",2,2015-06-16,1225,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",19,1,3,"Male",42
"1123",2,2015-06-16,1343,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",19,1,3,"Male",60
"1124",1,2015-06-16,1720,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",11,2,3,"Male",3
"1125",2,2015-06-17,1252,"A","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,1,3,"Female",52
"1126",2,2015-06-17,1252,"A","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,1,3,"Female",25
"1127",1,2015-06-17,1330,"A","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,3,3,"Female",30
"1128",2,2015-06-18,950,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",8,1,3,"Male",50
"1129",2,2015-06-18,950,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",8,2,3,"Female",44
"1130",2,2015-06-18,950,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",28
"1131",2,2015-06-18,1605,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, high winds",1,1,3,"Male",51
"1132",1,2015-06-18,1715,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Female",30
"1133",2,2015-06-20,1200,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",36
"1134",1,2015-06-20,1430,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",17,1,3,"Female",20
"1135",2,2015-06-20,2305,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",8,2,3,"Female",22
"1136",1,2015-06-22,1850,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",4,1,2,"Male",17
"1137",3,2015-06-23,1730,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",35
"1138",3,2015-06-23,1730,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",74
"1139",2,2015-06-25,1200,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",3,1,3,"Male",18
"1140",1,2015-06-25,1310,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",71
"1141",2,2015-06-25,1320,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,2,"Male",45
"1142",1,2015-06-26,2030,"B","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Male",24
"1143",2,2015-06-27,2010,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",34
"1144",2,2015-06-27,2050,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,2,"Male",38
"1145",2,2015-06-27,2050,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,2,2,"Male",19
"1146",2,2015-06-27,2050,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,2,2,"Male",35
"1147",2,2015-06-27,2050,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,2,"Male",22
"1148",2,2015-06-27,2050,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,2,2,"Male",20
"1149",2,2015-06-27,2050,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,2,2,"Male",17
"1150",1,2015-06-28,2050,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",42
"1151",3,2015-06-28,2245,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,2,1,"Female",16
"1152",3,2015-06-28,2245,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,2,3,"Female",28
"1153",3,2015-06-28,2245,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,2,"Female",22
"1154",1,2015-06-30,1050,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",3,1,3,"Male",46
"1155",2,2015-06-30,735,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",50
"1156",2,2015-06-30,735,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",57
"1157",2,2015-06-30,735,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",47
"1158",1,2015-07-01,1228,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",21,3,3,"Female",86
"1159",1,2015-07-01,1645,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",3,1,3,"Male",32
"1160",2,2015-07-01,1715,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Male",9
"1161",2,2015-07-02,1900,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",35
"1162",2,2015-07-02,2055,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",46
"1163",2,2015-07-02,2055,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,2,"Male",49
"1164",2,2015-07-03,705,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",4,1,3,"Female",21
"1165",1,2015-07-03,1155,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,2,"Male",41
"1166",2,2015-07-05,1755,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,2,"Female",51
"1167",2,2015-07-05,1755,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",62
"1168",2,2015-07-05,1755,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",44
"1169",1,2015-07-06,1541,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Female",7
"1170",1,2015-07-07,1535,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",56
"1171",2,2015-07-07,2230,"A","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,2,"Female",48
"1172",2,2015-07-07,2230,"A","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,2,2,"Male",30
"1173",2,2015-07-07,2230,"A","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,2,"Male",33
"1174",1,2015-07-08,0,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,3,3,"Female",14
"1175",1,2015-07-08,1958,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,2,"Male",8
"1176",1,2015-07-03,1250,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",21,3,3,"Female",42
"1177",2,2015-07-10,1150,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",21
"1178",3,2015-07-10,1358,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",55
"1179",3,2015-07-10,1358,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",45
"1180",2,2015-07-12,1114,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",65
"1181",2,2015-07-13,1517,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",37
"1182",2,2015-07-13,1517,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,2,"Female",65
"1183",2,2015-07-13,1635,"Motorway","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",47
"1184",2,2015-07-14,1327,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",25
"1185",2,2015-07-14,1327,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",36
"1186",2,2015-07-15,1352,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",59
"1187",2,2015-07-15,1803,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",3,1,2,"Male",54
"1188",4,2015-07-16,2255,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",32
"1189",4,2015-07-16,2255,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,2,3,"Male",19
"1190",2,2015-07-17,809,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",57
"1191",2,2015-07-17,1630,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",46
"1192",2,2015-07-17,1226,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",31
"1193",2,2015-07-20,554,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",3,1,3,"Male",37
"1194",2,2015-07-22,810,"B","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,2,"Female",41
"1195",1,2015-07-22,1738,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Female",11
"1196",1,2015-07-24,1510,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Female",25
"1197",2,2015-07-24,2200,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Female",39
"1198",1,2015-07-24,2315,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,3,2,"Male",24
"1199",1,2015-07-25,1224,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",55
"1200",1,2015-07-25,1700,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",90,3,2,"Male",13
"1201",2,2015-07-26,1730,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,2,3,"Male",39
"1202",1,2015-07-27,1330,"A","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",3,1,3,"Female",17
"1203",2,2015-07-28,1636,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,2,"Male",18
"1204",2,2015-07-30,810,"A","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",5,1,3,"Male",58
"1205",2,2015-07-30,1740,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,2,"Male",30
"1206",2,2015-07-31,1225,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",83
"1207",2,2015-07-31,1616,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,2,"Female",34
"1208",2,2015-07-31,1615,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",45
"1209",2,2015-07-31,1615,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",54
"1210",2,2015-07-31,1620,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",3,1,3,"Male",18
"1211",2,2015-08-03,1403,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",4,1,3,"Male",NA
"1212",2,2015-08-04,1526,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,2,3,"Female",26
"1213",2,2015-08-06,1907,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",19
"1214",1,2015-08-06,2005,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",57
"1215",2,2015-08-03,1425,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",35
"1216",2,2015-08-07,1525,"Motorway","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",6
"1217",2,2015-08-07,1525,"Motorway","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",10
"1218",2,2015-08-07,1525,"Motorway","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",39
"1219",2,2015-08-07,1525,"Motorway","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",21
"1220",2,2015-08-07,1525,"Motorway","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",22
"1221",2,2015-08-07,1525,"Motorway","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",44
"1222",2,2015-08-07,1525,"Motorway","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",18
"1223",1,2015-08-07,2120,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,3,3,"Male",44
"1224",2,2015-08-08,830,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",45
"1225",1,2015-08-08,145,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,3,2,"Male",22
"1226",1,2015-08-08,2100,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Female",12
"1227",2,2015-08-11,1914,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",5,1,3,"Male",66
"1228",4,2015-08-12,814,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",67
"1229",1,2015-08-13,1625,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",11,3,3,"Male",74
"1230",1,2015-08-14,209,"A","Wet/Damp","Darkness: Street Lights Present::On","Dark","Raining, no high winds",4,1,3,"Male",20
"1231",2,2015-08-14,1450,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,2,3,"Female",28
"1232",2,2015-08-14,1450,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,2,3,"Male",31
"1233",1,2015-08-15,1243,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,1,"Male",46
"1234",2,2015-08-16,934,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",51
"1235",2,2015-08-17,1150,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Female",7
"1236",2,2015-08-17,2000,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",3,1,3,"Male",20
"1237",2,2015-08-23,1900,"A","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",5,1,3,"Male",36
"1238",2,2015-08-25,1220,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",55
"1239",2,2015-08-25,1220,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",11,1,3,"Male",58
"1240",2,2015-08-25,1220,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",11,2,3,"Female",79
"1241",1,2015-08-26,1356,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",7
"1242",2,2015-08-27,730,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",3,1,3,"Male",19
"1243",1,2015-08-27,1610,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",9
"1244",2,2015-08-27,1655,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",9
"1245",2,2015-08-28,1415,"A","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,2,"Female",71
"1246",2,2015-08-28,1415,"A","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",47
"1247",2,2015-08-28,1415,"A","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",68
"1248",2,2015-08-28,1415,"A","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Female",15
"1249",1,2015-08-28,2345,"Unknown","Dry","Darkness: No Street Lights Present",NA,"Fine, no high winds",9,1,3,"Male",21
"1250",1,2015-08-28,2345,"Unknown","Dry","Darkness: No Street Lights Present",NA,"Fine, no high winds",9,2,3,"Male",18
"1251",2,2015-09-03,1715,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",3,1,3,"Male",23
"1252",1,2015-09-03,1837,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",3,1,2,"Male",19
"1253",2,2015-09-01,1015,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",7
"1254",1,2015-09-06,50,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Female",26
"1255",2,2015-09-06,1849,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",3,1,2,"Male",30
"1256",1,2015-09-07,820,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",18
"1257",2,2015-09-09,655,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",56
"1258",2,2015-09-09,740,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",4,1,3,"Male",56
"1259",2,2015-09-09,1332,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",41
"1260",1,2015-09-06,830,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",46
"1261",1,2015-09-10,1400,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",53
"1262",2,2015-09-11,1510,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",35
"1263",2,2015-09-11,1510,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",19,1,3,"Male",63
"1264",1,2015-09-12,754,"B","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,1,3,"Male",27
"1265",2,2015-09-13,1245,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",68
"1266",2,2015-09-13,1924,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",23
"1267",2,2015-09-16,826,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",50
"1268",2,2015-09-16,826,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",45
"1269",1,2015-09-16,1115,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Female",25
"1270",1,2015-09-16,1248,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,2,"Male",31
"1271",2,2015-09-16,1015,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",25
"1272",4,2015-09-17,2015,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Female",32
"1273",4,2015-09-17,2015,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Female",56
"1274",1,2015-09-18,1640,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",44
"1275",2,2015-09-19,1550,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",63
"1276",2,2015-09-21,1731,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",59
"1277",2,2015-09-22,830,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",18
"1278",2,2015-09-24,1005,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",2,1,3,"Female",22
"1279",2,2015-09-24,2240,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Female",23
"1280",2,2015-09-24,2240,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Female",46
"1281",1,2015-09-25,805,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",11
"1282",2,2015-09-25,1226,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",47
"1283",2,2015-09-27,825,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",55
"1284",2,2015-09-27,1500,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",50
"1285",2,2015-09-27,1710,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",20
"1286",1,2015-09-28,1023,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",11,3,2,"Male",61
