"","Number.of.Vehicles","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Daylight.Dark","Weather.Conditions","Type.of.Vehicle","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty"
"140",1,2017-06-21,1750,"U","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,1,3,"Male",19
"141",1,2017-06-22,1656,"A641","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,1,"Male",57
"142",3,2017-06-23,2023,"A641","Wet/Damp","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,1,3,"Male",26
"143",2,2017-06-23,2125,"A62","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,2,3,"Female",38
"144",1,2017-06-24,1032,"B6113","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,2,"Male",64
"145",2,2017-06-24,1157,"A58","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",58
"146",1,2017-06-24,1200,"A646","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,2,"Male",93
"147",1,2017-06-24,1900,"U","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,3,3,"Male",13
"148",1,2017-06-24,2056,"U","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,3,3,"Female",14
"149",2,2017-06-26,1432,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",30
"150",3,2017-06-28,721,"M62","Wet/Damp","Darkness: Street Lights Unknown","Dark","Raining, no high winds",9,1,3,"Male",25
"151",2,2017-06-29,1800,"U","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,1,3,"Male",7
"152",3,2017-06-29,1215,"A6139","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,1,3,"Male",6
"153",2,2017-06-29,1640,"A641","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",49
"154",2,2017-07-01,1330,"A58","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,2,"Male",23
"155",2,2017-07-01,1636,"A629","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,2,"Male",48
"156",2,2017-07-02,1732,"A646","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",1,1,3,"Male",39
"157",1,2017-07-02,1520,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",10
"158",2,2017-07-02,2236,"A646","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Female",30
"159",2,2017-07-03,2200,"U","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",19,1,3,"Male",43
"160",1,2017-07-07,1341,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",8,3,3,"Male",41
"161",2,2017-07-07,2300,"U","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",20
"162",2,2017-07-08,1151,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",44
"163",3,2017-07-08,1207,"B6112","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",54
"164",2,2017-07-08,1915,"U","Dry","Darkness: Street Lights Unknown","Dark","Other",9,1,3,"Female",40
"165",1,2017-07-08,1950,"U","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,3,3,"Female",3
"166",2,2017-07-08,2140,"U","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",3,1,3,"Male",18
"167",2,2017-07-09,1610,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",14
"168",1,2017-07-09,1642,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",19,3,3,"Female",5
